uuid|studentuuid|total|points|grade|position|remarks
a3c4dbbe-320c-464e-8b18-f6c90987e1d0|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|500|60|C-|10|Poor
FC9A23F4-DAAA-4B7A-9B5D-8AB404204E39|9771e08e-4e87-4fe4-9608-a31952ec10cd|789|62|C-|9|Poor
ACB92E88-7D13-49D2-8393-5720031DC08C|d8a28954-5f2e-4899-8e3f-37b48694778b|900|67|C+|8|fair
712B0D95-BDDF-4788-8EB4-6A5AF8AC1906|39e904ed-2a81-481e-abc2-bb4e1fd923e2|1245|74|A-|1|Excellent
6DCFEE9F-DB68-49DB-A65D-6BD20A1F02E7|f8b21135-a65e-4784-9169-3c7fecfaeb83|774|68|B+|5|Good
8E485049-ED50-4C87-B12A-4BEFC7906A64|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|984|71|A-|3|Excellent
A8D56A25-A8D2-4F89-8AC0-21DCEA4CD073|7d37242c-abf6-40b4-b8a6-38045a23a1ed|873|69|B+|4|Good
3B5238A1-F394-4D8C-9666-563380EEB1FA|838c6508-b971-4590-b7f1-4021867a197e|748|64|B|7|Fair
FFD7229E-1EC7-40B8-A08E-8120C8B05E9C|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|1224|73|A-|2|Excellent
7726BEA1-73A0-443D-B7A6-77C67B4AD86A|75d63eed-2e4e-43ed-915f-552443d628cd|785|64|B|6|Good
