uuid|studentuuid|points|grade|position|remarks
CC2AE569-9C2C-4CFD-AB53-34EC275FE4C6|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|80|A|1|Excellent
5A3142C6-2901-488D-8593-FB544F495E93|9771e08e-4e87-4fe4-9608-a31952ec10cd|72|B+|3|Excellent
0B9F95EE-49A3-4870-9824-0CD7C6C6BB1B|d8a28954-5f2e-4899-8e3f-37b48694778b|60|B|4|Good
C979D426-B262-45E5-A8E3-F03957976DEE|39e904ed-2a81-481e-abc2-bb4e1fd923e2|74|A-|2|Excellent
58524457-7323-4A7E-B2CC-3133241F3F54|f8b21135-a65e-4784-9169-3c7fecfaeb83|45|C|8|Fair
EC5A12A8-3264-4F3F-ADC2-8CCA4B4B7547|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|18|D-|9|Poor
687D13C2-BBDE-4B1D-8FBD-D3EE2668838B|7d37242c-abf6-40b4-b8a6-38045a23a1ed|45|C|8|Fair
3B96D1B4-13AA-4168-8DC7-331F1BF76492|838c6508-b971-4590-b7f1-4021867a197e|50|C+|7|Fair
78D4A5D0-DBFA-4042-9AB0-0A15CA42CFA1|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|54|B-|6|Fair
B5F79088-40D8-437B-A57E-BFA8F0E79785|75d63eed-2e4e-43ed-915f-552443d628cd|56|B-|5|Fair
