uuid|studentuuid|description
93fba9da-15d4-415b-89aa-355b24652110|9771e08e-4e87-4fe4-9608-a31952ec10cd|Both Parent Alive
eaf65a9f-a5bc-4711-b9e4-30f08e5ef972|d8a28954-5f2e-4899-8e3f-37b48694778b|Partial Orphan, Mother Alive
ae6532d2-1897-4ce5-b0a9-abbdec28e880|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Partial Orphan, Fatherr Alive
e24d3013-23d3-4176-8bdb-1b1748b5ad93|f8b21135-a65e-4784-9169-3c7fecfaeb83|Both Parent Alive
0589cd17-c1b9-4314-9ac1-47e45ca5165f|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Both Parent Alive
9c304192-98b9-44b2-98f7-f4519bef7b9b|7d37242c-abf6-40b4-b8a6-38045a23a1ed|Both Parent Alive
b758e963-5769-4b91-b3b2-81d2b39cc70e|838c6508-b971-4590-b7f1-4021867a197e|Total Orphan
978f9c39-0d15-4a2c-a52c-7c835fd8e33c|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Total Orphan
35a7782b-3d82-42bc-9c22-1d9ecc6be09a|75d63eed-2e4e-43ed-915f-552443d628cd|Both Parent Alive
984276b1-2c25-4646-b973-3fff9e8a8190|9771e08e-4e87-4fe4-9608-a31952ec10cd|Both Parent Alive
