uuid|studentuuid|county|location|sublocation
C3CFA249-F2A3-8253-1F44-B1C594C6A8D2|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|Muranga|Muranga1|Muranga2
B37B6FB6-C8A4-43A1-91E3-6B0D46911165|9771e08e-4e87-4fe4-9608-a31952ec10cd|Naari|Naari1|Naari2
D501B1ED-E0C4-40F2-9BA6-4AF1776D552B|d8a28954-5f2e-4899-8e3f-37b48694778b|Muiru|Muiri1|Muiri2
02FD6F01-2D2E-4699-8E25-90EFD4C10A21|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Maara|Maara1|Maara2
3F4C3C9A-CE2C-4575-93D3-D6C4493DB320|f8b21135-a65e-4784-9169-3c7fecfaeb83|Chogaria|Chog1|Chog2
3F865D70-12DD-4E5B-B329-BA120BDE5517|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Mugwe|Mugwe1|Mugwe2
20B8F068-9F03-49FC-A463-25B064EEA049|7d37242c-abf6-40b4-b8a6-38045a23a1ed|Chera|Chera1|Chera2
68EE5EB0-568C-4DE5-86E6-92AAC4C99508|838c6508-b971-4590-b7f1-4021867a197e|Kambandi|Kamby|Kamby1
117AAF8C-B9EF-492D-AA62-FAB7BCBBFC9F|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Chuka|Kachu|Kachu2
3C98D740-65BE-4DFE-8A80-DA268A1CD57C|75d63eed-2e4e-43ed-915f-552443d628cd|Nkubu|Nkubu1|Nkubu2
1C01447E-6603-4F46-BBB7-16226A5442AF|9771e08e-4e87-4fe4-9608-a31952ec10cd|Ndagani|Ndagani|Kangeta
