uuid|studentuuid|sujectuuid|roomnameuuid
650195B6-9357-C147-C24E-7FBDAEEC74ED|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|D0F7EC32-EA25-7D32-8708-2CC132446A2E|4DA86139-6A72-4089-8858-6A3A613FDFE6
D5E47E6F-DA46-44D3-AF39-5103409451D3|9771e08e-4e87-4fe4-9608-a31952ec10cd|66027e51-b1ad-4b10-8250-63af64d23323|E06D24F3-6D2C-47A5-9300-F880877E0C1C
288A398C-E09F-4EBA-9EBA-E92C8203E261|d8a28954-5f2e-4899-8e3f-37b48694778b|4f59580d-1a16-4669-9ed5-4b89615d6903|A41016A0-2848-4969-8197-878D1D9687D6
6D90E5FC-C4D1-4342-A050-A0F8FED6672A|39e904ed-2a81-481e-abc2-bb4e1fd923e2|552c0a24-6038-440f-add5-2dadfb9a23bd|4927E344-0A7C-40A1-AD9B-4A0E4AC305B8
407B4089-DDBB-46AA-9E7F-60CF3172A57D|f8b21135-a65e-4784-9169-3c7fecfaeb83|44f23b3c-e066-4b45-931c-0e8073d3a93a|59E5F556-4B04-43B2-8139-E2D39A7836C6
9156A57A-CFDF-40FA-9DD3-F9B54418E3FB|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|de0c86be-9bcb-4d3b-8098-b06687536c1f|343E96D0-3F83-4A37-A4DA-5A18EF6E8937
2426B30C-BFAC-4F23-8508-5DDB79449DA4|7d37242c-abf6-40b4-b8a6-38045a23a1ed|c9caf109-c27d-4062-9b9f-ac4268629e27|04CF6D23-2063-47A4-A055-A4C3F88E0890
41EC0ED6-501A-42B2-BE62-20A675FE312F|838c6508-b971-4590-b7f1-4021867a197e|f098e943-26fd-4dc0-b6a0-2d02477004a4|7E8BDC36-02E4-45F6-8EC6-AA5B95EA79D0
71CACF0D-7E36-4195-9EC6-513411338AA8|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|0e5dc1c6-f62f-4a36-a1ec-064173332694|46398A47-93F2-4591-B36F-1C28B03CC2F3
2B2106B3-B697-42AB-92B5-2C66B643A574|75d63eed-2e4e-43ed-915f-552443d628cd|e1729cc2-524a-4069-b4a4-be5aec8473fe|EEF296C6-0A09-499B-89AA-9AF92CC87701
