Uuid|StudentUuid|ExamDetailUuid|CatPoint|Grade|Remark|Position
16545449-6A49-43E5-A519-57AA0CD2518E|DAF7EC32-EA25-7D32-8708-2CC132446|38EFA2D4-352D-4BC0-887F-9CA227950501|58|B-|Good|5
32475386-1D89-4D96-846E-76FACE33CF77|9771e08e-4e87-4fe4-9608-a31952ec10cd|2B464452-B010-4A8A-AE3A-3FC08F21E4C6|36|C-|Fair|9
EDDA0D5B-9FAA-49C2-AA13-FBAEDAE6CA82|d8a28954-5f2e-4899-8e3f-37b48694778b|110E213B-1765-43F5-8435-E8C91F51F289|70|B+|Good|3
322A4B47-DE58-4023-9DB0-95B6AA6D1628|39e904ed-2a81-481e-abc2-bb4e1fd923e2|5498156A-FE83-43F4-9592-36281E377FE4|64|B|Good|8
A5A59803-A67F-4A68-A445-ED780C5C5EAC|f8b21135-a65e-4784-9169-3c7fecfaeb83|53795E6C-3093-44BE-B35A-742760B3641E|50|C+|Fair|6
579A48C9-A247-4225-89DF-7C9B500F53E4|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|38EFA2D4-352D-4BC0-887F-9CA227950501|51|C+|Fair|7
2D8A7F5C-9AAA-4E8D-9BBC-DD9F1FD004E3|7d37242c-abf6-40b4-b8a6-38045a23a1ed|2B464452-B010-4A8A-AE3A-3FC08F21E4C6|59|B-|Good|4
0F6E1C62-B27C-4018-94A9-6AEC88BE4D58|838c6508-b971-4590-b7f1-4021867a197e|110E213B-1765-43F5-8435-E8C91F51F289|74|A-|Excellent|2
5C6E36B3-33E2-4FE7-A37C-15B0ADA0BE5B|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|5498156A-FE83-43F4-9592-36281E377FE4|34|D+|Poor|10
BB79D7D3-5F1A-48F8-8174-7A3664424C2A|75d63eed-2e4e-43ed-915f-552443d628cd|53795E6C-3093-44BE-B35A-742760B3641E|45|C-|Fair|11
9DB5814B-8D8A-4C6C-9835-059935FF35F7|A5151A2D-3D63-4092-BC67-AC23A2ED2606|38EFA2D4-352D-4BC0-887F-9CA227950501|76|A-|Excellent|1
