uuid|studentuuid|subjectuuid|marks|submark|percent|grade|points|submitdate
71f243fb-3826-4911-b1cb-545d9a033578|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|D0F7EC32-EA25-7D32-8708-2CC132446A2E|78|63|86|A-|11|Sat Dec 06 22:00:42 EAT 2014
DBB0C4BA-E40D-4021-B31E-12A276E64645|9771e08e-4e87-4fe4-9608-a31952ec10cd|66027e51-b1ad-4b10-8250-63af64d23323|64|54|69|B|10|Sat Dec 06 22:00:42 EAT 2014
BF915EFB-090A-4197-BCA3-97F2E361D98B|d8a28954-5f2e-4899-8e3f-37b48694778b|4f59580d-1a16-4669-9ed5-4b89615d6903|45|40|51|C|4|Sat Dec 06 22:00:42 EAT 2014
89E20580-8EA3-4F5C-8637-5D715932A83B|39e904ed-2a81-481e-abc2-bb4e1fd923e2|552c0a24-6038-440f-add5-2dadfb9a23bd|14|10|20|E|1|Sat Dec 06 22:00:42 EAT 2014
38E41494-20B1-48B3-91E5-842F7533F963|f8b21135-a65e-4784-9169-3c7fecfaeb83|44f23b3c-e066-4b45-931c-0e8073d3a93a|54|45|60|B-|7|Sat Dec 06 22:00:42 EAT 2014
F9624F82-B392-4459-989B-CE6391ED2448|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|de0c86be-9bcb-4d3b-8098-b06687536c1f|74|64|86|A-|11|Sat Dec 06 22:00:42 EAT 2014
1F32B04E-AFB0-4C0F-9EA6-6872991BBDF1|7d37242c-abf6-40b4-b8a6-38045a23a1ed|c9caf109-c27d-4062-9b9f-ac4268629e27|78|68|91|A-|11|Sat Dec 06 22:00:42 EAT 2014
2E1EDE5B-DEB7-48EF-A982-29A16FD94743|838c6508-b971-4590-b7f1-4021867a197e|f098e943-26fd-4dc0-b6a0-2d02477004a4|90|84|97|A|12|Sat Dec 06 22:00:42 EAT 2014
071B5023-4EB2-497D-B385-BC5EF408537D|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|0e5dc1c6-f62f-4a36-a1ec-064173332694|76|70|83|A-|11|Sat Dec 06 22:00:42 EAT 2014
B2111E1C-D474-4436-83CA-FA96CCCA5B44|75d63eed-2e4e-43ed-915f-552443d628cd|66027e51-b1ad-4b10-8250-63af64d23323|65|64|91|B+|10|Sat Dec 06 22:00:42 EAT 2014
