uuid|studentuuid|total|points|grade|position|remarks
204916f3-346d-4297-bdfa-82215820fff5|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|877|56|C+|5|Good
A908AC6E-464C-4460-B649-F9929F6799E4|9771e08e-4e87-4fe4-9608-a31952ec10cd|999|63|B-|3|Good
755BDB69-053B-4A74-8F3E-1CC01581F469|d8a28954-5f2e-4899-8e3f-37b48694778b|1233|74|A-|2|Exellent
D5B4388A-ABF7-4C22-8574-64560D6B2677|39e904ed-2a81-481e-abc2-bb4e1fd923e2|1455|76|A-|1|Exellent
315C2BC0-D5E5-4031-858E-CBE41A83C430|f8b21135-a65e-4784-9169-3c7fecfaeb83|678|45|C-|7|Fair
02D85B22-5CAA-4EDA-9C41-1C451F3F493B|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|737|65|B|6|Fair
25A4B175-C86C-4D5D-9E0E-A92D68225B4D|7d37242c-abf6-40b4-b8a6-38045a23a1ed|345|34|D-|8|Poor
3B1ACE76-3840-4017-BDA3-97284F73D85F|838c6508-b971-4590-b7f1-4021867a197e|177|23|E|9|Poor
BAE4ABA0-41D9-4E8A-9289-53514189E5EA|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|889|65|B|4|Good
2C4B05F0-B87B-4781-88BA-834C18B0C116|75d63eed-2e4e-43ed-915f-552443d628cd|877|56|C+|5|Good
3733FC0D-C906-4239-912C-A802CC1B0311|A5151A2D-3D63-4092-BC67-AC23A2ED2606|999|63|B-|3|Good
669CC76D-1F0C-45CD-9011-264157872650|E90FA704-3F08-4C55-9317-B11CDBB9D4A8|1233|74|A-|2|Exellent
E0A5C0C1-C8DB-42AE-B429-531D73D1E6A7|CB3C3FB9-C9E2-48DC-B65E-218D34B29BE5|1455|76|A-|1|Exellent
C1987844-366B-4493-8CC3-C3A249C3BA91|23694373-9A8E-4122-8D87-88928C78FC86|678|45|C-|7|Fair
613253B1-1E4A-488F-B83C-BDE335A3575B|280BA71D-2173-45A8-9ED6-678D64E5F425|737|65|B|6|Fair
47BED333-727F-499F-A811-03DDFC258679|AD7D7F78-A622-4C10-947B-BBC84B84BD58|345|34|D-|8|Poor
69DC6F13-9CBB-416D-89E6-24F181AF0002|162084B0-734C-4DB0-84CA-B089F474E5CB|177|23|E|9|Poor
771036F8-41BE-4727-8613-D27A45D73C93|051F15CA-8780-4906-A22B-84F444FBDA83|889|65|B|4|Good
74D54954-8613-49B7-AA8E-8D965CC21B53|0711DD7F-AB2C-4F1C-98FB-AA53E5333087|877|56|C+|5|Good
4F3519AA-C4A9-4A12-9DD5-47B01798CB79|72F08A23-83E1-419D-AE5D-C17774338729|999|63|B-|3|Good
F95B5563-DEB8-429B-A8AC-F6832E2F7EE0|EB267515-31D7-4AAB-97EA-444B2CA1E61B|1233|74|A-|2|Exellent
544B8C0B-6EA1-4B14-80F6-1DB9545F21F5|FD4E90C8-E37F-4ACC-977B-719B87ABE99A|1455|76|A-|1|Exellent
6658201A-BBC2-484C-8B7D-31A03720F7D6|2DB81940-DBE8-440B-A8F3-B48374CF48D5|678|45|C-|7|Fair
0D3F4675-AFF8-4514-8DFF-4BBDFCAF3CEB|BF26C439-43DA-4403-9D99-EBF54E05A557|737|65|B|6|Fair
