SchoolAccountUuid|TeacherUuid|StudentUuid|SubjectUuid|ClassRoomUuid|Classes|CatOne|CatTwo|EndTerm|PaperOne|PaperTwo|PaperThree|Term|Year
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|4F218688-6DE5-4E69-8690-66FBA2F0DC9F|D0F7EC32-EA25-7D32-8708-2CC132446|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|20|22|60|56|67|65|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|A195BAF6-D6E7-43A5-B7C9-D6C627A42815|D0F7EC32-EA25-7D32-8708-2CC132446|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|22|0|46|67|65|43|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|8A1B5BDB-9589-4207-8345-A811FC18B2C9|D0F7EC32-EA25-7D32-8708-2CC132446|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|23|14|56|56|36|65|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|AEED7469-F7AF-41E6-B24C-13B1D74E1026|D0F7EC32-EA25-7D32-8708-2CC132446|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|21|22|32|47|54|76|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|CF64EBB2-BCC2-4EAA-B1C8-060EEE3284F3|D0F7EC32-EA25-7D32-8708-2CC132446|A41016A0-2848-4969-8197-878D1D9687D6|C143978A-E021-4015-BC67-5A00D6C910D1|26|24|63|38|65|25|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|7BF6983F-CF8D-4897-8122-7CCD0F778CAF|D0F7EC32-EA25-7D32-8708-2CC132446|A41016A0-2848-4969-8197-878D1D9687D6|C143978A-E021-4015-BC67-5A00D6C910D1|23|25|65|45|76|35|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|F49DB775-4952-4915-B978-9D9F3E36D6E9|87D0EA99-7042-4867-A4B7-C31E7665DE5E|D0F7EC32-EA25-7D32-8708-2CC132446|A41016A0-2848-4969-8197-878D1D9687D6|C143978A-E021-4015-BC67-5A00D6C910D1|20|22|57|65|65|54|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|AEC5BE96-CA88-401F-AFFA-AAA54FCCAB8F|4F218688-6DE5-4E69-8690-66FBA2F0DC9F|44f23b3c-e066-4b45-931c-0e8073d3a93a|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|24|18|26|76|57|56|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|AEC5BE96-CA88-401F-AFFA-AAA54FCCAB8F|A195BAF6-D6E7-43A5-B7C9-D6C627A42815|44f23b3c-e066-4b45-931c-0e8073d3a93a|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|25|19|54|45|76|65|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|AEC5BE96-CA88-401F-AFFA-AAA54FCCAB8F|8A1B5BDB-9589-4207-8345-A811FC18B2C9|44f23b3c-e066-4b45-931c-0e8073d3a93a|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|11|23|46|56|45|73|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|708D2D79-BD0A-4338-BC75-62A5659A4F56|4F218688-6DE5-4E69-8690-66FBA2F0DC9F|66027e51-b1ad-4b10-8250-63af64d23323|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|14|10|65|64|76|76|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|708D2D79-BD0A-4338-BC75-62A5659A4F56|A195BAF6-D6E7-43A5-B7C9-D6C627A42815|66027e51-b1ad-4b10-8250-63af64d23323|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|15|14|32|75|65|87|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|708D2D79-BD0A-4338-BC75-62A5659A4F56|8A1B5BDB-9589-4207-8345-A811FC18B2C9|66027e51-b1ad-4b10-8250-63af64d23323|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|24|16|45|80|54|38|1|2014
E3CDC578-37BA-4CDB-B150-DAB0409270CD|708D2D79-BD0A-4338-BC75-62A5659A4F56|AEED7469-F7AF-41E6-B24C-13B1D74E1026|66027e51-b1ad-4b10-8250-63af64d23323|4DA86139-6A72-4089-8858-6A3A613FDFE6|C143978A-E021-4015-BC67-5A00D6C910D1|27|17|34|56|57|76|1|2014
3A387B8B-A0D8-4F27-B9D2-E329619DF055|5FC9F25F-7BC4-451F-B718-778CC08849C8|6912F4C6-9370-440A-BA87-11A8426BA92C|e1729cc2-524a-4069-b4a4-be5aec8473fe|E06D24F3-6D2C-47A5-9300-F880877E0C1C|C143978A-E021-4015-BC67-5A00D6C910D1|20|14|45|67|23|45|1|2014
3A387B8B-A0D8-4F27-B9D2-E329619DF055|5FC9F25F-7BC4-451F-B718-778CC08849C8|91318D8C-8150-49B4-A473-CF97F104F6B7|e1729cc2-524a-4069-b4a4-be5aec8473fe|E06D24F3-6D2C-47A5-9300-F880877E0C1C|C143978A-E021-4015-BC67-5A00D6C910D1|15|24|34|60|65|65|1|2014
