uuid|studentuuid|subjectuuid|class
DHF7EC32-EA25-7D32-8708-2CC132446A2G|DAF7EC32-EA25-7D32-8708-2CC132446A2Y|D0F7EC32-EA25-7D32-8708-2CC132446A2E|FORM 1 S
21F10B9C-DF56-44C1-9BC2-D04713D36B32|9771e08e-4e87-4fe4-9608-a31952ec10cd|66027e51-b1ad-4b10-8250-63af64d23323|FORM 3 N
04C8A61C-643B-4C0C-94F0-7BC5C11BA486|d8a28954-5f2e-4899-8e3f-37b48694778b|4f59580d-1a16-4669-9ed5-4b89615d6903|FORM 4 T
8FC8A0A0-4FBA-445F-8746-89450BB0C7AE|39e904ed-2a81-481e-abc2-bb4e1fd923e2|552c0a24-6038-440f-add5-2dadfb9a23bd|FORM 4 N
25D521B7-9956-458C-A489-EA3F3BEF07ED|f8b21135-a65e-4784-9169-3c7fecfaeb83|44f23b3c-e066-4b45-931c-0e8073d3a93a|FORM 4 S
821D0DC3-D952-4580-A938-518DA5D8E02E|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|de0c86be-9bcb-4d3b-8098-b06687536c1f|FORM 4 E
D692F654-396B-4810-9095-B1CC2DD4B6D8|7d37242c-abf6-40b4-b8a6-38045a23a1ed|c9caf109-c27d-4062-9b9f-ac4268629e27|FORM 1 T
9FBB983F-283D-4ABB-9CD2-F3F011C26A96|838c6508-b971-4590-b7f1-4021867a197e|f098e943-26fd-4dc0-b6a0-2d02477004a4|FORM 1 N
882A1680-508E-4E7D-AAFC-8A13981DF3B6|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|0e5dc1c6-f62f-4a36-a1ec-064173332694|FORM 2 N
B531BE35-40ED-413F-86BE-26170B2B8EE8|75d63eed-2e4e-43ed-915f-552443d628cd|e1729cc2-524a-4069-b4a4-be5aec8473fe|FORM 3 S
C8062B65-F2E0-4081-B861-5A30F042972C|9771e08e-4e87-4fe4-9608-a31952ec10cd|b9bbd718-b32f-4466-ab34-42f544ff900e|FORM 2 T
