Uuid|StudentUuid|HouseName
A0666694-9E07-406F-85A4-BAA5D95EDB7E|DAF7EC32-EA25-7D32-8708-2CC132446|Kirima Mbogo
51FE4865-1B8A-4E9E-A125-551249C18CA2|9771e08e-4e87-4fe4-9608-a31952ec10cd|Suswa
A0313A48-5575-4D0E-A16F-5F21ACFE97D9|d8a28954-5f2e-4899-8e3f-37b48694778b|Ruguti
FBDF6380-17DA-4E9F-9BFA-C79F3F0B54C4|39e904ed-2a81-481e-abc2-bb4e1fd923e2|Suswa Anex
5B993D3E-42DF-4B85-90FD-8F466E5171BF|f8b21135-a65e-4784-9169-3c7fecfaeb83|Kirima Njaro
EB203C5B-0C20-4709-B466-E1A392329F75|97d6752d-7d05-4256-b36e-1a9dc1b56c0d|Mt Kenya
CC469181-ADCE-4A78-A86A-C67C4B782B8C|7d37242c-abf6-40b4-b8a6-38045a23a1ed|Mt Longonot
43C229F6-4218-4396-A5CD-C671ABDEFA51|838c6508-b971-4590-b7f1-4021867a197e|Mara ht
43A8029E-FC31-40D5-A111-70A837DD2085|8aeeec01-a3f2-4fe6-bc68-3541bbc0c985|Lenana
75d63eed-2e4e-43ed-915f-552443d628cd|75d63eed-2e4e-43ed-915f-552443d628cd|Nagashaki
